name,RA,Dec,TOI,vmag,epoch,epoch_uncertainty,period,period_uncertainty,duration,comments,depth,disposition,priority
"TIC 233071822.01",18:03:13.45,60:40:30.69,1747.01,10.4,2459935.588141,,2.7546587,0.0000066,0.785,"possible depth aperture correlation (updated 2023-02-25)",0.36,PC,2
"TIC 233071926.01",18:02:57.43,60:25:03.5,1748.01,10.6,2459662.449114,,1.83186225535088,0.0000051451516,1.42111718364683," (updated 2023-06-16)",0.40,PC,2
"TIC 233602827.01",18:50:56.93,64:25:10.08,1749.01,12.3,2459763.323055,,4.48913668477699,0.000008228225,1.88333766515746,"TOI-1749 c / TOI 1749.01 (updated 2023-06-16)",1.27,CP,1
"TIC 233602827.02",18:50:56.93,64:25:10.08,1749.02,12.3,2459647.515197,,9.04470385496473,0.000016702928,1.76531479184096,"TOI-1749 d / TOI-1749.02; multi (updated 2023-06-16)",1.61,CP,1
"TIC 233602827.03",18:50:56.93,64:25:10.08,1749.03,12.3,2458684.354953,,2.38890510103569,0.000009959496,1.03240902060808,"TOI-1749 b / TOI-1749.03; multi (updated 2023-06-16)",0.57,KP,5
"TIC 237099296.01",16:01:12.47,68:56:14.28,1750.01,11.7,2459663.822557,,11.3373613975694,0.00002155542,2.86113193631509,"L1 candidate (updated 2023-06-16)",1.19,PC,2
"TIC 287080092.01",16:13:57.32,63:32:00.71,1751.01,8.8,2459932.629169,,37.4685522,0.0002174,7.267,"L1 candidate; possible unrelated transits near TBJD 2717 and 2749 (updated 2023-04-18)",0.44,PC,1
"TIC 287139872.01",16:53:50.76,60:42:34.63,1752.01,12.7,2459662.731174,,0.935189077550389,0.0000057909137,0.769464937792613,"L1 candidate; potential multi (updated 2023-06-16)",1.15,PC,1
"TIC 287139872.02",16:53:50.76,60:42:34.63,1752.02,12.7,2458704.636574,,32.7135406170529,0.00045082436,5.07546697500936,"low SNR; potential multi (updated 2023-06-16)",1.47,PC,1
"TIC 289580577.01",16:49:52.76,61:10:24.88,1753.01,11.2,2459653.733754,,5.38462389660919,0.000011786725,3.26172961705255,"L1 candidate (updated 2023-06-16)",0.63,PC,2
"TIC 332477926.01",17:42:22.63,57:26:51.97,1754.01,11.7,2459662.802223,,16.2143216884247,0.00006849222,3.83952494493376,"L1 candidate; v-shaped (updated 2023-06-16)",1.55,PC,1
"TIC 356978132.01",18:15:07.61,56:52:41.17,1755.01,9.9,2459681.861928,,60.1849546,0.0000831,2.618,"v-shaped; grazing (updated 2022-12-16)",3.42,APC,5
"TIC 364074068.01",20:25:18.91,77:38:11.08,1756.01,12.1,2458764.851874,,2.78301136608212,0.0000089497225,1.74062950244565,"slightly v-shaped; L1 candidate (updated 2023-06-16)",0.92,PC,2
"TIC 367753709.01",17:01:36.17,79:04:01.65,1757.01,11.3,2459633.261116,,2.12568697665264,0.000005904732,1.46496640757542,"L1 candidate; possible multi (updated 2023-06-16)",0.57,PC,2
"TIC 367753709.02",17:01:36.17,79:04:01.65,1757.02,11.3,2458685.759866,,5.00971134077727,0.000014321918,0.945710652095698,"low SNR; potential multi; two stars in pixel (updated 2023-06-16)",0.56,PC,2
"TIC 367858035.01",23:38:57.98,75:41:06.83,1758.01,10.1,2459924.771388,,20.7050858,0.0000474,3.388,"L1 candidate (updated 2023-02-09)",1.83,PC,1
